Date,USD,EUR,RUR
2013-12-20,7.993000,10.924033,0.24256
2013-12-23,7.993000,10.914442,0.24236
2013-12-24,7.993000,10.952009,0.24258
2013-12-25,7.993000,10.937621,0.24497
2013-12-26,7.993000,10.937621,0.24482
2013-12-27,7.993000,10.937621,0.24465
2013-12-30,7.993000,11.041530,0.24497
2014-01-08,7.993000,10.897656,0.24474
2014-01-09,7.993000,10.865684,0.24474
2014-01-10,7.993000,10.880072,0.24108
2014-01-11,7.993000,10.860089,0.24071
2014-01-13,7.993000,10.860089,0.24071
2014-01-14,7.993000,10.913642,0.24133
2014-01-15,7.993000,10.924033,0.24047
2014-01-16,7.993000,10.875276,0.23963
2014-01-17,7.993000,10.868082,0.23930
2014-01-20,7.993000,10.857691,0.23907
2014-01-21,7.993000,10.843304,0.23758
2014-01-22,7.993000,10.811332,0.23637
2014-01-23,7.993000,10.843304,0.23600
2014-01-24,7.993000,10.901653,0.23486
2014-01-27,7.993000,10.940019,0.23330
2014-01-28,7.993000,10.916839,0.23028
2014-01-29,7.993000,10.909646,0.23084
2014-01-30,7.993000,10.876874,0.23126
2014-01-31,7.993000,10.849698,0.22679
2014-02-03,7.993000,10.803339,0.22720
2014-02-04,7.993000,10.788951,0.22685
2014-02-05,7.993000,10.805737,0.22547
2014-02-06,7.993000,10.824920,0.22864
2014-02-07,8.708000,11.751446,0.25074
2014-02-10,8.528200,11.576179,0.24645
2014-02-11,8.553200,11.664854,0.24604
2014-02-12,8.550700,11.693937,0.24574
2014-02-13,8.550700,11.605865,0.24600
2014-02-14,8.630900,11.802756,0.24758
2014-02-17,8.640500,11.843533,0.24508
2014-02-18,8.645800,11.843881,0.24634
2014-02-19,8.686900,11.927982,0.24652
2014-02-20,8.785200,12.075257,0.24687
2014-02-21,8.838000,12.113363,0.24710
2014-02-24,8.938000,12.251317,0.25048
2014-02-25,9.037700,12.413281,0.25450
2014-02-26,9.426900,12.965758,0.26505
2014-02-27,9.517900,13.064270,0.26596
2014-02-28,9.986300,13.637291,0.27701
2014-03-03,9.699400,13.397781,0.26805
2014-03-04,9.992400,13.757536,0.27468
2014-03-05,9.724100,13.388141,0.26773
2014-03-06,9.448900,12.975229,0.26185
2014-03-07,9.387900,12.903669,0.25987
2014-03-11,9.235900,12.832359,0.25470
2014-03-12,9.297500,12.877038,0.25542
2014-03-13,9.282300,12.890330,0.25440
2014-03-14,9.475900,13.211300,0.25992
2014-03-17,9.600700,13.329612,0.26203
2014-03-18,9.756800,13.567806,0.26621
2014-03-19,9.959800,13.846114,0.27326
2014-03-20,9.917800,13.798635,0.27392
2014-03-21,10.109200,13.912281,0.27997
2014-03-24,10.196500,14.050777,0.28011
2014-03-25,10.376200,14.292178,0.28690
2014-03-26,10.575800,14.582971,0.29433
2014-03-27,10.672100,14.717893,0.30105
2014-03-28,10.850200,14.927705,0.30494
2014-03-31,10.954600,15.072434,0.30696
2014-04-01,10.998100,15.164180,0.30889
2014-04-02,11.106200,15.315450,0.31710
2014-04-03,11.241600,15.507787,0.31890
2014-04-04,11.601102,15.975878,0.32665
2014-04-07,11.650969,15.961828,0.32819
2014-04-08,11.728167,16.094564,0.33067
2014-04-09,11.878416,16.361330,0.33416
2014-04-10,12.617898,17.405129,0.35296
2014-04-11,12.569123,17.429603,0.35348
2014-04-14,12.977090,18.001819,0.36428
2014-04-15,12.385561,17.125515,0.34415
2014-04-16,11.396110,15.730051,0.31688
2014-04-17,11.252078,15.572876,0.31185
2014-04-18,11.227373,15.555525,0.31249
2014-04-22,11.247453,15.583346,0.31533
2014-04-23,11.512850,15.907305,0.32268
2014-04-24,11.384637,15.749507,0.31923
2014-04-25,11.383201,15.731584,0.31901
2014-04-28,11.357246,15.708207,0.31610
2014-04-29,11.408089,15.812752,0.31668
2014-04-30,11.401581,15.763826,0.31939
2014-05-05,11.400000,15.802680,0.31912
2014-05-06,11.469576,15.912890,0.32004
2014-05-07,11.651347,16.247803,0.32678
2014-05-08,11.593833,16.146731,0.32661
2014-05-12,11.605445,15.993464,0.33126
2014-05-13,11.646656,16.031622,0.33079
2014-05-14,11.764521,16.120923,0.33730
2014-05-15,11.662983,16.000446,0.33602
2014-05-16,11.755194,16.056419,0.33876
2014-05-19,11.752057,16.095617,0.33790
2014-05-20,11.716147,16.068696,0.33726
2014-05-21,11.723210,16.063142,0.33881
2014-05-22,11.730460,16.042577,0.33994
2014-05-23,11.715143,16.012257,0.34175
2014-05-26,11.660821,15.893699,0.33983
2014-05-27,11.751152,16.022696,0.34484
2014-05-28,11.709770,15.969784,0.34182
2014-05-29,11.765592,16.010618,0.34114
2014-05-30,11.774997,16.028126,0.33985
2014-06-02,11.877564,16.161801,0.34195
2014-06-03,11.833307,16.106314,0.33917
2014-06-04,11.870105,16.196758,0.33903
2014-06-05,11.760260,16.025706,0.33467
2014-06-06,11.825829,16.044102,0.33881
2014-06-10,11.803521,16.062231,0.34382
2014-06-11,11.631239,15.756839,0.33843
2014-06-12,11.654663,15.788572,0.33956
2014-06-13,11.728837,15.866771,0.34172
2014-06-16,11.748094,15.899870,0.34228
2014-06-17,11.760444,15.914233,0.34024
2014-06-18,11.827596,16.047682,0.33978
2014-06-19,11.849877,16.071988,0.34029
2014-06-20,11.854613,16.145983,0.34559
2014-06-23,11.878272,16.140196,0.34511
2014-06-24,11.892063,16.168449,0.34691
2014-06-25,11.881919,16.180797,0.34966
2014-06-26,11.894782,16.194746,0.35081
2014-06-27,11.823346,16.086845,0.35031
2014-07-01,11.785498,16.096633,0.34824
2014-07-02,11.833402,16.197561,0.34573
2014-07-03,11.841109,16.170218,0.34573
2014-07-04,11.827096,16.139255,0.34587
2014-07-07,11.784505,16.012785,0.34334
2014-07-08,11.712292,15.919347,0.33881
2014-07-09,11.658130,15.842233,0.33865
2014-07-10,11.695741,15.909716,0.34323
2014-07-11,11.693814,15.908265,0.34561
2014-07-14,11.696248,15.901049,0.34342
2014-07-15,11.707174,15.953366,0.34118
2014-07-16,11.718072,15.951811,0.34092
2014-07-17,11.719709,15.859110,0.34083
2014-07-18,11.649106,15.755416,0.33475
2014-07-21,11.655592,15.764188,0.33148
2014-07-22,11.670029,15.775545,0.33257
2014-07-23,11.644375,15.697782,0.33233
2014-07-24,11.682867,15.730980,0.33562
2014-07-25,11.752797,15.833368,0.33504
2014-07-28,11.858383,15.937667,0.33829
2014-07-29,11.987694,16.103069,0.33916
2014-07-30,12.003188,16.119081,0.33685
2014-07-31,12.097248,16.211522,0.33860
2014-08-01,11.963280,16.005672,0.33753
2014-08-04,12.183059,16.319208,0.34100
2014-08-05,12.297591,16.505827,0.34485
2014-08-06,12.354879,16.533299,0.34512
2014-08-07,12.458546,16.625930,0.34501
2014-08-08,12.606756,16.852711,0.34778
2014-08-11,12.825978,17.171419,0.35192
2014-08-12,13.139331,17.588308,0.36450
2014-08-13,13.110661,17.497488,0.36329
2014-08-14,13.091686,17.490492,0.36143
2014-08-15,13.135491,17.566092,0.36447
2014-08-18,13.073311,17.502549,0.36313
2014-08-19,12.952576,17.334432,0.35950
2014-08-20,13.223077,17.658097,0.36619
2014-08-21,13.112790,17.419030,0.36199
2014-08-22,13.365434,17.725239,0.36787
2014-08-26,13.659408,18.030419,0.37817
2014-08-27,13.890974,18.324973,0.38441
2014-08-28,13.437484,17.706573,0.37182
2014-08-29,13.605777,17.929693,0.37476
2014-09-01,13.114112,17.294891,0.35509
2014-09-02,13.008652,17.084263,0.34881
2014-09-03,12.531031,16.434447,0.33552
2014-09-04,12.528758,16.476570,0.33573
2014-09-05,12.822200,16.688093,0.34839
2014-09-08,12.822103,16.602059,0.34728
2014-09-09,12.926071,16.735384,0.34854
2014-09-10,12.951794,16.710405,0.34980
2014-09-11,12.976598,16.777444,0.34912
2014-09-12,12.950082,16.741866,0.34648
2014-09-15,12.903103,16.685002,0.34267
2014-09-16,12.988170,16.769026,0.34192
2014-09-17,13.082315,16.940290,0.33799
2014-09-18,13.425024,17.393461,0.34986
2014-09-19,13.434133,17.292416,0.34966
2014-09-22,13.489709,17.336974,0.35117
2014-09-23,13.526129,17.374313,0.35062
2014-09-24,12.944226,16.687696,0.33476
2014-09-25,12.950572,16.610404,0.33740
2014-09-26,12.908793,16.409658,0.33704
2014-09-29,12.908176,16.434690,0.33334
2014-09-30,12.949185,16.446760,0.32877
2014-10-01,12.955218,16.301551,0.32895
2014-10-02,12.950006,16.320893,0.32652
2014-10-03,12.940496,16.345140,0.32721
2014-10-06,12.949049,16.336520,0.32619
2014-10-07,12.966295,16.292150,0.32430
2014-10-08,12.950205,16.326323,0.32586
2014-10-09,12.930817,16.351018,0.32342
2014-10-10,12.950023,16.528114,0.32391
2014-10-13,12.952882,16.369852,0.32211
2014-10-14,12.951459,16.421155,0.32118
2014-10-15,12.952038,16.379147,0.31956
2014-10-16,12.951445,16.404300,0.31634
2014-10-17,12.951220,16.511510,0.31785
2014-10-20,12.951166,16.607280,0.31554
2014-10-21,12.950582,16.541778,0.31678
2014-10-22,12.950077,16.526888,0.31547
2014-10-23,12.950488,16.438054,0.31612
